word,difficulty
Toni the Tiger, mittel
Rufen sie jetzt an, mittel
Leon (böse), leicht
Sponsor, schwer
Bayrisch, leicht
Kommt zu spät > 5 min, mittel
Sexsuelle Andeutung, leicht
Frauenwitzchen, mittel
Ausländersprache, leicht
Krypto (Finanzen), schwer
Redewendung, leicht
Random Lachen, leicht
Gogo aufgerufen (Georgius), leicht
Timer wird gestellt, leicht
Schimpfwort, leicht
Kopf krazen, leicht
Beschwerde PC zu langsam, mittel
Schüler stark loben, leicht
Wort nachsprechen, mittel
Vierte Fremdsprache, leicht
singen, schwer
Pfeifen, leicht
Letzte Reihe, leicht
Rassistisch, mittel
dummer witz, leicht
verwendet ausergewöhnliche Metapher, mittel
Ablenkung von Sachen außerhalb des Klassenzimmers, mittel
Monolog führen, mittel
absuluten scheiß erzählen, mittel
gibt zu dass er es nicht weiß, schwer
drei mal etwas wiederholen, mittel
Baustelle, leicht
Film reference, mittel
AI, mittel
Persönlichkeitswechsel, mittel
Rum Schreien, leicht
Religös, mittel
sauer, leicht
Vibed mit Lied, leicht
Guckt begeistert in den Bildschirm, leicht
Am Finger lecken, leicht
Zunge raus, schwer
