word,difficulty
calls student by wrong name,leicht
checks phone mid-sentence,leicht
blames the projector,leicht
student asks to go to bathroom,leicht
random side story,leicht
someone falls asleep,leicht
awkward silence after joke,leicht
forgets students name,leicht
says just one more thing,leicht
water bottle knocked over,leicht
student showing off,leicht
teacher clears throat,leicht
uses air quotes,mittel
makes a sports analogy,mittel
complains about the wifi,mittel
reads directly off the slides,mittel
says back in my day,mittel
student asks what page we're on,mittel
explains a word no one asked about,mittel
mispronounces something,mittel
refers to own workout,mittel
someone asks to repeat that,mittel
uses a movie reference,mittel
gives unsolicited life advice,mittel
student asks if this is on the test,mittel
makes everyone count off,mittel
admits they don't know the answer,schwer
entire class goes silent at once,schwer
someone sings under their breath,schwer
student corrects the teacher,schwer
spontaneous push-up challenge,schwer
full class debate breaks out,schwer
